
CommandNotFoundError: Your shell has not been properly configured to use 'conda activate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.


Epoch: 0, Train loss: 99.80770267355136, Train accuracy: 0.5823909640312195, Test loss: 2.0323883414268495, Test accuracy: 0.5942029356956482
Epoch: 1, Train loss: 13.679873632314878, Train accuracy: 0.65625, Test loss: 1.999914401769638, Test accuracy: 0.6594203114509583
Epoch: 2, Train loss: 10.761142153006334, Train accuracy: 0.7584814429283142, Test loss: 1.4715812385082245, Test accuracy: 0.875
Epoch: 3, Train loss: 9.612516032579618, Train accuracy: 0.8177083730697632, Test loss: 1.2861968517303466, Test accuracy: 0.9375
Epoch: 4, Train loss: 7.698649186927539, Train accuracy: 0.84375, Test loss: 3.0181371092796327, Test accuracy: 0.84375
Epoch: 5, Train loss: 9.009119637119465, Train accuracy: 0.9375, Test loss: 2.16529903113842, Test accuracy: 0.695652186870575
Epoch: 6, Train loss: 8.116167231439016, Train accuracy: 0.875, Test loss: 2.389477613568306, Test accuracy: 0.8550724983215332
Epoch: 7, Train loss: 7.541283389505668, Train accuracy: 0.90625, Test loss: 1.4825872480869293, Test accuracy: 0.875
Epoch: 8, Train loss: 4.640332301457723, Train accuracy: 0.96875, Test loss: 2.1025986433029176, Test accuracy: 0.8125
Epoch: 9, Train loss: 4.611960510794933, Train accuracy: 0.9270833730697632, Test loss: 1.232222256064415, Test accuracy: 0.8958333730697632
Epoch: 10, Train loss: 4.009780319073261, Train accuracy: 0.9375, Test loss: 1.6986804574728012, Test accuracy: 0.953125
Epoch: 11, Train loss: 5.86873044565511, Train accuracy: 0.9283088445663452, Test loss: 1.156415843963623, Test accuracy: 0.8958333730697632
Epoch: 12, Train loss: 5.361131992286596, Train accuracy: 0.925000011920929, Test loss: 1.6075049132108687, Test accuracy: 0.8260869979858398
Epoch: 13, Train loss: 4.124030621674581, Train accuracy: 0.941964328289032, Test loss: 1.1773333251476288, Test accuracy: 0.90625
Epoch: 14, Train loss: 4.755788445281676, Train accuracy: 0.9479166865348816, Test loss: 0.8224800661206245, Test accuracy: 0.96875
Epoch: 15, Train loss: 3.9351209174746122, Train accuracy: 0.96875, Test loss: 0.6026530086994171, Test accuracy: 0.921875
