
CommandNotFoundError: Your shell has not been properly configured to use 'conda activate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.


Epoch: 0, Train loss: 114.05239992722487, Train accuracy: 0.5373263955116272, Test loss: 2.043498158454895, Test accuracy: 0.78125
Epoch: 1, Train loss: 12.582838975466215, Train accuracy: 0.71875, Test loss: 1.4933672368526458, Test accuracy: 0.84375
Epoch: 2, Train loss: 9.90735404766523, Train accuracy: 0.7562500238418579, Test loss: 1.6501575648784637, Test accuracy: 0.8229166865348816
Epoch: 3, Train loss: 9.874624379934408, Train accuracy: 0.796875, Test loss: 1.6898569822311402, Test accuracy: 0.7708333730697632
Epoch: 4, Train loss: 9.906632586167408, Train accuracy: 0.84375, Test loss: 1.4427915334701538, Test accuracy: 0.9375
Epoch: 5, Train loss: 7.086313494505027, Train accuracy: 0.890625, Test loss: 1.1616364389657974, Test accuracy: 0.9375
Epoch: 6, Train loss: 6.668404010625986, Train accuracy: 0.9140625, Test loss: 1.1101055920124054, Test accuracy: 0.96875
Epoch: 7, Train loss: 6.802714426165972, Train accuracy: 0.8926630616188049, Test loss: 1.0198460280895234, Test accuracy: 0.90625
Epoch: 8, Train loss: 5.935490917796508, Train accuracy: 0.910714328289032, Test loss: 0.9896160423755646, Test accuracy: 1.0
Epoch: 9, Train loss: 4.733410055152117, Train accuracy: 0.921875, Test loss: 1.5217209137976169, Test accuracy: 0.8958333730697632
Epoch: 10, Train loss: 4.810107050141176, Train accuracy: 1.0, Test loss: 0.7609816178679466, Test accuracy: 0.9375
Epoch: 11, Train loss: 4.71111733542803, Train accuracy: 0.9375, Test loss: 0.6352563589811325, Test accuracy: 0.9166666865348816
Epoch: 12, Train loss: 3.1636646792101555, Train accuracy: 0.9538043737411499, Test loss: 0.9027015954256058, Test accuracy: 0.921875
Epoch: 13, Train loss: 3.732716787415437, Train accuracy: 0.96875, Test loss: 1.0938895136117934, Test accuracy: 0.953125
Epoch: 14, Train loss: 4.710079220911632, Train accuracy: 0.9375, Test loss: 0.7377247020602227, Test accuracy: 1.0
Epoch: 15, Train loss: 3.4778316538685408, Train accuracy: 0.9583333730697632, Test loss: 0.9752896696329116, Test accuracy: 0.953125
Epoch: 16, Train loss: 2.8562515638291073, Train accuracy: 0.9593750238418579, Test loss: 1.3067795649170875, Test accuracy: 0.859375
Epoch: 17, Train loss: 3.5477415023323817, Train accuracy: 0.96875, Test loss: 0.7136596798896789, Test accuracy: 0.9275362491607666
Epoch: 18, Train loss: 3.586371371474786, Train accuracy: 0.9464285969734192, Test loss: 0.6867607183754444, Test accuracy: 0.921875
Epoch: 19, Train loss: 2.91454132923331, Train accuracy: 0.9583333730697632, Test loss: 0.8751960277557373, Test accuracy: 0.9270833730697632
Epoch: 20, Train loss: 2.750513412535955, Train accuracy: 0.9791666865348816, Test loss: 1.1015052139759063, Test accuracy: 0.875
Epoch: 21, Train loss: 3.0389859257982326, Train accuracy: 1.0, Test loss: 0.7514485627412796, Test accuracy: 0.9375
Epoch: 22, Train loss: 2.029567911385153, Train accuracy: 1.0, Test loss: 0.8480202376842498, Test accuracy: 0.90625
Epoch: 23, Train loss: 1.642173288939282, Train accuracy: 1.0, Test loss: 0.9177021861076355, Test accuracy: 0.9166666865348816
Epoch: 24, Train loss: 2.860916438512504, Train accuracy: 1.0, Test loss: 1.5907740972936153, Test accuracy: 0.8913043737411499
Epoch: 25, Train loss: 3.5565901398181152, Train accuracy: 0.984375, Test loss: 1.7600895762443542, Test accuracy: 0.9375
Epoch: 26, Train loss: 3.8230615304544187, Train accuracy: 0.9765625, Test loss: 1.246794456243515, Test accuracy: 0.9375
Epoch: 27, Train loss: 3.2062028710945296, Train accuracy: 0.9541667103767395, Test loss: 1.6161581568419934, Test accuracy: 0.96875
Epoch: 28, Train loss: 3.6974194728984284, Train accuracy: 0.9479166865348816, Test loss: 0.5845718801021575, Test accuracy: 0.9453125
Epoch: 29, Train loss: 1.5081038233250952, Train accuracy: 1.0, Test loss: 2.279529745876789, Test accuracy: 0.8478261232376099
Epoch: 30, Train loss: 3.3285160705160637, Train accuracy: 0.96875, Test loss: 0.6949104070663452, Test accuracy: 0.9375
Epoch: 31, Train loss: 1.948715976302106, Train accuracy: 1.0, Test loss: 0.6832290545105935, Test accuracy: 0.96875
Epoch: 32, Train loss: 2.3511961898647056, Train accuracy: 0.9654605388641357, Test loss: 1.0442849040031432, Test accuracy: 0.90625
Epoch: 33, Train loss: 1.1364600598768821, Train accuracy: 1.0, Test loss: 0.8197948008775711, Test accuracy: 0.953125
Epoch: 34, Train loss: 1.6302706881497915, Train accuracy: 0.9895833730697632, Test loss: 0.9548394560813904, Test accuracy: 0.9166666865348816
Epoch: 35, Train loss: 1.648358370308788, Train accuracy: 0.9739583730697632, Test loss: 1.081329619884491, Test accuracy: 0.96875
Epoch: 36, Train loss: 1.1773325987160206, Train accuracy: 0.9859375357627869, Test loss: 1.1504447177052497, Test accuracy: 0.8913043737411499
Epoch: 37, Train loss: 1.7030632791903395, Train accuracy: 1.0, Test loss: 0.5199166461825371, Test accuracy: 0.96875
Epoch: 38, Train loss: 1.0416686478405235, Train accuracy: 1.0, Test loss: 0.806974034011364, Test accuracy: 0.9375
Epoch: 39, Train loss: 0.8644221739467377, Train accuracy: 1.0, Test loss: 1.577403972297907, Test accuracy: 0.96875
Epoch: 40, Train loss: 1.6791439178543022, Train accuracy: 0.9916667342185974, Test loss: 1.0411032149218955, Test accuracy: 0.90625
Epoch: 41, Train loss: 1.0774174111787802, Train accuracy: 0.980654776096344, Test loss: 0.7377393126487732, Test accuracy: 0.96875
Epoch: 42, Train loss: 1.2336526915538484, Train accuracy: 1.0, Test loss: 0.6515261769294739, Test accuracy: 0.953125
Epoch: 43, Train loss: 1.2748634497409699, Train accuracy: 1.0, Test loss: 0.976708069734741, Test accuracy: 0.9202898740768433
Epoch: 44, Train loss: 2.1302500685963492, Train accuracy: 1.0, Test loss: 0.30800405284389853, Test accuracy: 0.9637681245803833
Epoch: 45, Train loss: 0.7130332807634822, Train accuracy: 1.0, Test loss: 0.6701483428478241, Test accuracy: 0.96875
Epoch: 46, Train loss: 0.6806200939948516, Train accuracy: 0.9918981790542603, Test loss: 0.37097016870975497, Test accuracy: 0.9375
Epoch: 47, Train loss: 1.1605945925804964, Train accuracy: 1.0, Test loss: 1.4519087178166956, Test accuracy: 0.9202898740768433
Epoch: 48, Train loss: 1.178060206370085, Train accuracy: 1.0, Test loss: 0.4024325586855412, Test accuracy: 1.0
Epoch: 49, Train loss: 1.5128654630448766, Train accuracy: 0.9791666865348816, Test loss: 1.8228923082351685, Test accuracy: 0.9375
Top-1 train accuracy:  1.0
Top-1 test accuracy:  1.0
